,0,1,2,3,4,5
0,0,1,0,0,1,1.0
1,0,2,0,0,1,1.0
2,0,2,0,1,2,1.0
3,0,3,0,0,1,1.0
4,0,3,0,1,2,1.0
5,0,3,1,2,3,1.0
6,0,4,0,0,1,1.0
7,0,4,0,1,2,1.0
8,0,4,1,2,3,1.0
9,0,4,1,3,4,1.0
10,1,0,0,1,2,1.0
11,1,0,1,2,3,1.0
12,1,0,2,3,0,0.5
13,1,0,1,3,4,0.5
14,1,0,3,4,0,0.5
15,1,2,0,1,2,1.0
16,1,3,0,1,2,1.0
17,1,3,1,2,3,1.0
18,1,4,0,1,2,1.0
19,1,4,1,2,3,1.0
20,1,4,1,3,4,1.0
21,2,0,1,2,3,1.0
22,2,0,2,3,0,0.5
23,2,0,1,3,4,0.5
24,2,0,3,4,0,0.5
25,2,1,0,0,1,1.0
26,2,1,1,2,3,1.0
27,2,1,2,3,0,0.5
28,2,1,1,3,4,0.5
29,2,1,3,4,0,0.5
30,2,3,1,2,3,1.0
31,2,4,1,2,3,1.0
32,2,4,1,3,4,1.0
33,3,0,2,3,0,0.5
34,3,0,1,3,4,0.5
35,3,0,3,4,0,0.5
36,3,1,0,0,1,1.0
37,3,1,2,3,0,0.5
38,3,1,1,3,4,0.5
39,3,1,3,4,0,0.5
40,3,2,0,0,1,1.0
41,3,2,0,1,2,1.0
42,3,2,2,3,0,0.5
43,3,2,1,3,4,0.5
44,3,2,3,4,0,0.5
45,3,4,1,3,4,1.0
46,4,0,3,4,0,1.0
47,4,1,0,0,1,1.0
48,4,1,3,4,0,1.0
49,4,2,0,0,1,1.0
50,4,2,0,1,2,1.0
51,4,2,3,4,0,1.0
52,4,3,0,0,1,1.0
53,4,3,0,1,2,1.0
54,4,3,1,2,3,1.0
55,4,3,3,4,0,1.0
