,0,1,2,3
0,0,0,1,165276.0
1,1,0,1,165276.0
2,2,0,1,165276.0
3,3,0,1,165276.0
4,4,0,1,165276.0
5,0,0,2,189648.0
6,1,0,2,189648.0
7,2,0,2,189648.0
8,3,0,2,189648.0
9,4,0,2,189648.0
10,0,0,3,155436.0
11,1,0,3,155436.0
12,2,0,3,155436.0
13,3,0,3,155436.0
14,4,0,3,155436.0
15,0,0,1,165276.0
16,0,1,4,232902.0
17,1,0,1,165276.0
18,1,1,4,232902.0
19,2,0,1,165276.0
20,2,1,4,232902.0
21,3,0,1,165276.0
22,3,1,4,232902.0
23,4,0,1,165276.0
24,4,1,4,232902.0
25,0,0,2,189648.0
26,0,2,4,175914.0
27,1,0,2,189648.0
28,1,2,4,175914.0
29,2,0,2,189648.0
30,2,2,4,175914.0
31,3,0,2,189648.0
32,3,2,4,175914.0
33,4,0,2,189648.0
34,4,2,4,175914.0
35,0,0,2,189648.0
36,0,2,5,141006.0
37,1,0,2,189648.0
38,1,2,5,141006.0
39,2,0,2,189648.0
40,2,2,5,141006.0
41,3,0,2,189648.0
42,3,2,5,141006.0
43,4,0,2,189648.0
44,4,2,5,141006.0
45,0,0,3,155436.0
46,0,3,5,133962.0
47,1,0,3,155436.0
48,1,3,5,133962.0
49,2,0,3,155436.0
50,2,3,5,133962.0
51,3,0,3,155436.0
52,3,3,5,133962.0
53,4,0,3,155436.0
54,4,3,5,133962.0
55,0,0,17,105096.0
56,0,17,6,214566.0
57,1,0,17,105096.0
58,1,17,6,214566.0
59,2,0,17,105096.0
60,2,17,6,214566.0
61,3,0,17,105096.0
62,3,17,6,214566.0
63,4,0,17,105096.0
64,4,17,6,214566.0
65,0,0,3,155436.0
66,0,3,6,191172.0
67,1,0,3,155436.0
68,1,3,6,191172.0
69,2,0,3,155436.0
70,2,3,6,191172.0
71,3,0,3,155436.0
72,3,3,6,191172.0
73,4,0,3,155436.0
74,4,3,6,191172.0
75,0,0,9,222096.0
76,0,9,7,361002.0
77,1,0,9,222096.0
78,1,9,7,361002.0
79,2,0,9,222096.0
80,2,9,7,361002.0
81,3,0,9,222096.0
82,3,9,7,361002.0
83,4,0,9,222096.0
84,4,9,7,361002.0
85,0,0,1,165276.0
86,0,1,8,260790.0
87,1,0,1,165276.0
88,1,1,8,260790.0
89,2,0,1,165276.0
90,2,1,8,260790.0
91,3,0,1,165276.0
92,3,1,8,260790.0
93,4,0,1,165276.0
94,4,1,8,260790.0
95,0,0,2,189648.0
